"Título";"ENP ID";"SIDE CODE";"SITE CODE NAT";"Figura asimilable Ley de Patrimonio";"Comunidad autónoma";"Figura CCAA";"Enlace";"Primera designación";"Norma primera designación";"Año primera designación";"Norma del PORN vigente";"Año del PORN vigente";"Norma declaración vigente";"Año declaración vigente";"Norma del instrumento de gestión vigente";"Año del instrumento de gestión vigente";"Año de aprobación de PUP";"Año de aprobación de PDS";"Superficie Total";"Superficie Terrestre";"Superficie Marina";"Superficie Pública";"Registros"
"Arinaga";"700012";"19082";"ES701004";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 277/2003, de 16 de octubre de 2003";"2003";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 25 de octubre de 2006. BOC 215. Lunes 6 de Noviembre de 2006.";"2006";"";"";"";"";"";"";"Datos Arinaga (2012)"
"Arenales de Caudete";"420074";"349185";"ES421008";"Otros";"Castilla-La Mancha";"Microrreserva";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 288/2004 de 28 de diciembre. DOCM 247 de 30 de diciembre de 2004";"2004";"";"";"";"";"";"";"";"";"Datos Arenales de Caudete (2012)"
"Arenal de Petrer-Almorxò";"520155";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Arenal de Petrer-Almorxò (2012)"
"Arenal de l´Amorxó";"520016";"349231";"ES521083";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"0";"";"";"0";"";"Acuerdo de 8 de febrero de 2002. DOGV 4191 de 15 de febrero de 2002";"2002";"Acuerdo comisión territorial de urbanismo. Bop Nº92 de 15,02,02,";"2008";"";"";"";"";"";"";"Datos Arenal de l´Amorxó (2012)"
"Arenal de Borriana";"520377";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"0";"0";"0";"";"Orden de 11 de marzo de 2008. DOCV 5738 del 9 de septiembre de 2008.";"2008";"Orden de 11 de marzo de 2008. DOCV 5738, de 9 de septiembre de 2008.";"2008";"";"";"";"";"";"";"Datos Arenal de Borriana (2012)"
"Área crítica de Vella pseudocytisus subsp. pseudocytisus";"420084";"349176";"ES425008";"Otros";"Castilla-La Mancha";"Microrreserva";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 119/2005 de 27 de septiembre. DOCM 196 de 30 de septiembre de 2005";"2005";"Decreto 119/2005. DOCM 196";"2005";"";"";"";"";"";"";"Datos Área crítica de Vella pseudocytisus subsp. pseudocytisus (2012)"
"Ardal y Tinjarra";"420075";"349202";"ES421016";"Otros";"Castilla-La Mancha";"Microrreserva";"www.redeuroparc.org";"0";"";"";"Decreto 160/2002 de 12 de noviembre. DOCM";"2002";"Decreto 35/2005 de 12 de abril. DOCM 77 de 18 de abril de 2005.";"2005";"";"";"";"";"";"";"";"";"Datos Ardal y Tinjarra (2012)"
"Archipiélago de Cabrera";"9";"196045";"ES530002";"Parque Nacional";"Illes Balears";"Parque Nacional";"www.redeuroparc.org";"0";"";"";"Real Decreto 1431/1992, de 27 de noviembre. BOE 42, de 18 de febrero de 1993.";"1992";"Ley 14/1991 de 29 de abril. BOE 103, 30 de abril de 1991.";"1991";"Decreto 58/2006, de 1 de julio. BOIB 97, de 11 de julio de 2006.";"2006";"";"";"10021.00 ha";"1318.00 ha";"8703.00 ha";"";"Datos Archipiélago de Cabrera (2012)"
"Archipiélago Chinijo";"700011";"196046";"ES701002";"Parque Natural";"Islas Canarias";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 63/1991, de 9 de abril de 1991";"1991";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 11 de septiembre de 2006. BOC 185. Jueves 21 de Septiembre de 2006. ";"2006";"";"";"";"";"";"";"Datos Archipiélago Chinijo (2012)"
"Arce de Orión";"220073";"349173";"ES220074";"Monumento Natural";"Comunidad Foral de Navarra";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto Foral 165/1991 de 25 de abril. BON 63  de 17 de mayo de 1991";"1991";"";"";"";"";"";"";"";"";"Datos Arce de Orión (2012)"
"Arce de Lezáun";"220147";"555545984";"ES220021";"Monumento Natural";"Comunidad Foral de Navarra";"Monumento Natural";"www.redeuroparc.org";"0";"0";"";"0";"";"Decreto foral 87/2009, de 1 de diciembre. BON 157 de 23 de diciembre de 2009.";"2009";"";"";"";"";"";"";"";"";"Datos Arce de Lezáun (2012)"
"Arc de Bérnia";"520154";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Arc de Bérnia (2012)"
"Aralar";"210004";"71222";"ES212001";"Parque Natural";"País Vasco";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 168/1994, de 26 de abril. BOPV 126.";"1994";"Decreto 168/1994 de 26 de abril. BOPV 123 de 29 de junio de 1994";"1994";"";"";"";"";"";"";"";"";"Datos Aralar (2012)"
"Anglesola-Vilagrassa";"510245";"389231";"ES510254";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Acuerdo de Gobierno del 11 de octubre. DOGC 5755 de 15 de noviembre de 2010.";"2010";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"Acuerdo de Gobierno del 11 de octubre. DOGC 5755 de 15 de noviembre de 2010.";"2010";"";"";"";"";"";"";"Datos Anglesola-Vilagrassa (2012)"
"Anaga";"700010";"19110";"ES702040";"Parque Natural";"Islas Canarias";"Parque Rural";"www.redeuroparc.org";"0";"";"";"Decreto 56/2011, de 4 de marzo de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 7 de febrero de 2007. BOC 47, martes 6 de marzo de 2007.";"2007";"";"2002";"";"";"";"";"Datos Anaga (2012)"
"Amagro";"700009";"19083";"ES701003";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 277/2003, de 16 de octubre de 2003";"2003";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Acuerdo de la COTMAC de 27 de abril de 2011. BOC 108 de 2 de junio de 2011";"2011";"";"";"";"";"";"";"Datos Amagro (2012)"
"Alts de la drova";"520093";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"";"";"";"";"";"";"Datos Alts de la drova (2012)"
"Alt Pirineu";"510241";"349162";"ES513012";"Parque Natural";"Cataluña";"Parque Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 194/2003 de 1 de agosto. DOGC 3943 de 8 de agosto de 2003.";"2003";"";"2012";"";"";"";"";"";"";"Datos Alt Pirineu (2012)"
"Alt Pirineu";"510084";"389081";"ES510084";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Alt Pirineu (2012)"
"Alto Tajo";"420013";"349169";"ES420004";"Parque Natural";"Castilla-La Mancha";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 204/1999, de 21 de septiembre. DOCM 61.";"1999";"Ley 1/2000, de 6 de abril. DOCM 43 de 5 de mayo de 2000";"2000";"Orden de 29 de marzo de 2006. DOCM 73 y  Orden de 22/04/2010. DOCM 84 (revisiones del PRUG)";"2006";"";"";"";"";"";"";"Datos Alto Tajo (2012)"
"Alto Guadiato";"610149";"0";"0";"Designaciones para la Red Natura 2000";"Andalucía";"Zona de Importancia comunitaria";"www.redeuroparc.org";"0";"0";"0";"DECRETO 429/2008, DE 29 DE JULIO, POR EL QUE SE DECLARAN LAS ZONAS DE ESPECIAL PROTECCIÓN PARA LAS AVES ""CAMPIÑAS DE SEVILLA"" Y ""ALTO GUADIATO"". (BOJA 173, 01/09/2008)";"2008";"Decreto 429/2008, de 29 de julio. BOJA 173.";"2008";"";"";"";"";"";"";"";"";"Datos Alto Guadiato (2012)"
"Alto Guadalquivir";"610024";"349168";"ES616002";"Otros";"Andalucía";"Paraje Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"";"";"";"";"";"";"";"";"Datos Alto Guadalquivir (2012)"
"Alto del Viso";"520296";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 24 de octubre de 2003, de la Conselleria de Territorio y Vivienda, por la que se declaran 12 microrreservas vegetales en la provincia de Valencia DOGV 4630 de 14 de noviembre de 2003";"2003";"Orden de 24 de octubre de 2003, de la Conselleria de Territorio y Vivienda, por la que se declaran 12 microrreservas vegetales en la provincia de Valencia DOGV 4630 de 14 de noviembre de 2003";"2003";"";"";"";"";"";"";"Datos Alto del Viso (2012)"
"Alt de Senabre";"520342";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 30 de octubre de 2006, de la Conselleria de Territorio y Vivienda, por la que se declara una microrreserva vegetal en la provincia de Alicante. DOGV 5429 de 16 de enero de 2007";"2007";"Orden de 30 de octubre de 2006, de la Conselleria de Territorio y Vivienda, por la que se declara una microrreserva vegetal en la provincia de Alicante. DOGV 5429 de 16 de enero de 2007";"2007";"";"";"";"";"";"";"Datos Alt de Senabre (2012)"
"Alt de les Xemeneies";"520092";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"Orden de 4 de mayo de 1999, de la Conselleria de Medio Ambiente, por la que se declaran 33 microrreservas vegetales en la provincia de Alicante y 29 microrreservas vegetales en la provincia de Valencia. DOGV 3505 de 28 de mayo de 1999";"1999";"";"";"";"";"";"";"Datos Alt de les Xemeneies (2012)"
"Alt del Colomer";"520285";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 19 de septiembre de 2003, de la Conselleria de Territorio y Vivienda, por la que se declaran 11 microrreservas vegetales en la provincia de Castellón DOGV 4602 de 6 de octubre de 2003";"2003";"Orden de 19 de septiembre de 2003, de la Conselleria de Territorio y Vivienda, por la que se declaran 11 microrreservas vegetales en la provincia de Castellón DOGV 4602 de 6 de octubre de 2003";"2003";"";"";"";"";"";"";"Datos Alt del Colomer (2012)"
"Alt de la Safor";"520217";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de junio de 2001, de la Conselleria de Medio Ambiente, por la que se declaran 16 microrreservas vegetales en la provincia de Alicante. DOGV 4059";"2001";"Orden de 13 de junio de 2001, de la Conselleria de Medio Ambiente, por la que se declaran 16 microrreservas vegetales en la provincia de Alicante. DOGV 4059";"2001";"";"";"";"";"";"";"Datos Alt de la Safor (2012)"
"Alt de la Rodana Gran";"520326";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 17 de julio de 2006, de la Conselleria de Territorio y Vivienda, por la que se declaran 16 microrreservas vegetales en la provincia de Valencia DOGV 5343 de 11 de septiembre de 2006";"2006";"Orden de 17 de julio de 2006, de la Conselleria de Territorio y Vivienda, por la que se declaran 16 microrreservas vegetales en la provincia de Valencia DOGV 5343 de 11 de septiembre de 2006";"2006";"";"";"";"";"";"";"Datos Alt de la Rodana Gran (2012)"
"Alt de la Cava";"520280";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 29 de abril de 2003, de la Conselleria de Medio Ambiente, por la que se declaran 5 microrreservas vegetales en la provincia de Alicante DOGV 4517 de 9 de junio de 2003";"2003";"Orden de 29 de abril de 2003, de la Conselleria de Medio Ambiente, por la que se declaran 5 microrreservas vegetales en la provincia de Alicante DOGV 4517 de 9 de junio de 2003";"2003";"";"";"";"";"";"";"Datos Alt de la Cava (2012)"
"Alt Àneu";"510047";"389005";"ES513003";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 123/1987 de 12 de marzo. DOGC 833 de 29 de abril de 1987";"1987";"";"";"";"";"";"";"";"";"Datos Alt Àneu (2012)"
"Alta Garrotxa, l´";"510085";"389082";"ES510085";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Alta Garrotxa, l´ (2012)"
"Almez de Lugar Nuevo";"430029";"349161";"ES432019";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 76/2004 de 18 de mayo. DOE 59 (25/05/2004)";"2004";"";"";"";"";"";"";"";"";"Datos Almez de Lugar Nuevo (2012)"
"Almendro Real";"430068";"555588764";"ES431011";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"";"";"";"";"";"";"2014";"";"";"";"";"0.00 ha";"0.00 ha";"";"";""
"Aligars-Serra Fulletera";"510246";"389223";"ES510246";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Aligars-Serra Fulletera (2012)"
"Alcornoque Nuestr Padre o Santo";"430076";"555588780";"ES432044";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"";"";"";"";"";"";"2014";"";"";"";"";"0.00 ha";"0.00 ha";"";"";""
"Alcornoque El Abuelo";"430028";"349160";"ES432018";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 76/2004 de 18 de mayo. DOE 59 (25/05/2004)";"2004";"";"";"";"";"";"";"";"";"Datos Alcornoque El Abuelo (2012)"
"Alcornoque El Abuelo";"430078";"555588763";"ES431009";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"";"";"";"";"";"";"2014";"";"";"";"";"0.00 ha";"0.00 ha";"";"";""
"Alcornoque del Venero";"430081";"555588779";"ES432043";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"";"";"";"";"";"";"2014";"";"";"";"";"0.00 ha";"0.00 ha";"";"";""
"Alcornoque de los Galaperales";"430027";"349159";"ES432017";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 76/2004 de 18 de mayo. DOE 59 (25/05/2004)";"2004";"";"";"";"";"";"";"";"";"Datos Alcornoque de los Galaperales (2012)"
"Alcornoque de los Cercones";"430071";"555588778";"ES432042";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"";"";"";"";"";"";"2014";"";"";"";"";"0.00 ha";"0.00 ha";"";"";""
"Alcornoque de la Fresneda";"430011";"349158";"ES432007";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 36/2001 de 6 de marzo. DOE 30 (13/03)2001)";"2001";"";"";"";"";"";"";"";"";"Datos Alcornoque de la Fresneda (2012)"
"Alcornoque de la Dehesa Boyal de Mirabel";"430086";"555595642";"ES432055";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"";"";"";"";"";"";"2016";"";"";"";"";"0.00 ha";"0.00 ha";"";"";""
"Alcornoque de la Dehesa";"430085";"555588777";"ES432041";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"";"";"";"";"";"";"2014";"";"";"";"";"0.00 ha";"0.00 ha";"";"";""
"Alcornoque de Getaria";"210008";"349183";"ES212003";"Monumento Natural";"País Vasco";"Árbol Singular";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 265/1995 de 16 de mayo. BOPV 108 de 8 de junio de 1996";"1995";"";"";"";"";"";"";"";"";"Datos Alcornoque de Getaria (2012)"
"Alcornocal de Boxu";"120029";"349164";"ES120034";"Monumento Natural";"Principado de Asturias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 38/1994, de 19 de mayo. BOPA 152.";"1994";"Decreto 39/2002 de 4 de abril. BOPA 90 de 19 de abril de 2002";"2002";"";"";"";"";"";"";"";"";"Datos Alcornocal de Boxu (2012)"
"Albufera de Adra";"610023";"20956";"ES611006";"Reserva Natural";"Andalucía";"Reserva Natural";"www.redeuroparc.org";"0";"";"";"ORDEN DE 22 DE SEPTIEMBRE DE 2010, POR LA QUE SE PRORROGA LA VIGENCIA DEL PLAN DE ORDENACIÓN DE LOS RECURSOS NATURALES DEL RESERVA NATURAL ALBUFERA DE ADRA, APROBADO POR DECRETO 242/2000, DE 23 DE MAYO. (BOJA 203, 18/10/2010)";"2010";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"";"";"";"";"";"";"";"";"Datos Albufera de Adra (2012)"
"Alborán";"610129";"349166";"ES611014";"Otros";"Andalucía";"Paraje Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 3/2003 de 25 de junio. BOJA 133 de 14 de julio de 2003";"2003";"";"";"";"";"";"";"";"";"Datos Alborán (2012)"
"Albardinales de Membrilla - La Solana";"420029";"349192";"ES422012";"Otros";"Castilla-La Mancha";"Microrreserva";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 71/2002 de 14 de mayo. DOCM de 3 de junio de 2002.";"2002";"";"";"";"";"";"";"";"";"Datos Albardinales de Membrilla - La Solana (2012)"
"Alamos de Lodosa";"220072";"348980";"ES220073";"Monumento Natural";"Comunidad Foral de Navarra";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto Foral 165/1991 de 25 de abril. BON 63  de 17 de mayo de 1991";"1991";"";"";"";"";"";"";"";"";"Datos Alamos de Lodosa (2012)"
"Ajuí";"700008";"349191";"ES701058";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 100/2001, de 2 de abril. BOC 48.";"2001";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 16 de mayo de 2005. BOC 102. Miércoles 25 de Mayo de 2005.";"2005";"";"";"";"";"";"";"Datos Ajuí (2012)"
"Aizkorri-Aratz";"210039";"389017";"ES210003";"Parque Natural";"País Vasco";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 75/2006, de 4 de abril.BOPV 94.";"2006";"Decreto 76/2006 de 4 de abril. BOPV 76 de 21 de abril de 2006";"2006";"";"";"";"";"";"";"";"";"Datos Aizkorri-Aratz (2012)"
"Aigüestortes i Estany de Sant Maurici";"3";"196014";"ES513001";"Parque Nacional";"Cataluña";"Parque Nacional";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto de 21 de Octubre de 1955. BOE 325, 21 de noviembre 1955.";"1955";"Decreto 39/2003, de 4 de febrero. DOGC 3825, de 19 de febrero de 2003.";"2003";"2005";"";"14119.00 ha";"14119.00 ha";"";"";"Datos Aigüestortes i Estany de Sant Maurici (2012)"
"Aigüestortes";"510081";"389079";"ES510081";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Aigüestortes (2012)"
"Aiguamolls de l´Empordà";"510032";"151247";"ES512027";"Parque Natural";"Cataluña";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Acuerdo de Gobierno del 23 de noviembre. DOGC 5779 de 21 de diciembre de 2010.";"2010";"Ley 21/1983 de 28 de octubre de 1983. DOGC 380 de 11 de noviembre de 1983";"1983";"";"2012";"";"";"";"";"";"";"Datos Aiguamolls de l´Empordà (2012)"
"Aiguamolls del Baix Ter";"510280";"555546013";"ES512039";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"0";"0";"";"";"Ley 15/2010 de 28 de mayo. DOGC 5642 de 3 de junio de 2012";"2010";"";"";"0";"0";"";"";"";"";"Datos Aiguamolls del Baix Ter (2012)"
"Aiguamolls del Baix Empordà";"510080";"389078";"ES510080";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Aiguamolls del Baix Empordà (2012)"
"Aiguamolls de l´Alt Empordà";"510079";"389077";"ES510079";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Acuerdo de Gobierno del 23 de noviembre. DOGC 5779 de 21 de diciembre de 2010.";"2010";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Aiguamolls de l´Alt Empordà (2012)"
